artist,attack,collectible,cost,durability,dust,entourage,faction,flavor,health,howToEarn,howToEarnGolden,id,mechanics,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,targetingArrowText,text,type
Jaemin Kim,1.0,True,1.0,,"[100, 800, 20, 100]",,,This guy gets crazy strong at family reunions.,2.0,,,EX1_509,,Murloc Tidecaller,,,NEUTRAL,MURLOC,RARE,EXPERT1,,,"Whenever a Murloc is summoned, gain +1 Attack.",MINION
Ben Wootten,3.0,True,6.0,,"[400, 1600, 100, 400]",,,"Someone called her a Rhinorider, and she's NOT HAPPY.",5.0,,,AT_099,['INSPIRE'],Kodorider,,,NEUTRAL,,EPIC,TGT,,,<b>Inspire:</b> Summon a 3/5 War Kodo.,MINION
Zero Yue,5.0,True,5.0,,"[100, 800, 20, 100]",,,Wintergrasp Keep's only weakness!,5.0,,,GVG_086,,Siege Engine,,,WARRIOR,MECHANICAL,RARE,GVG,,,"Whenever you gain Armor, give this minion +1 Attack.",MINION
Sean O'Danield,,True,2.0,,"[400, 1600, 100, 400]",,,This minion is really powerful!,,,,AT_016,,Confuse,,,PRIEST,,EPIC,TGT,,,Swap the Attack and Health of all minions.,SPELL
Kev Walker,7.0,True,8.0,,"[1600, 3200, 400, 1600]",,,"He's Gruul ""the Dragonkiller"".  He just wanted to cuddle them… he never meant to… ",7.0,,,NEW1_038,,Gruul,,,NEUTRAL,,LEGENDARY,EXPERT1,,,"At the end of each turn, gain +1/+1 .",MINION
Jesper Ejsing,,True,5.0,,"[40, 400, 5, 50]",,,Because you're wrapped in a protective layer of… tentacles?,,,,OG_094,,Power Word: Tentacles,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",PRIEST,,COMMON,OG,,,Give a minion +2/+6.,SPELL
Tyler Walpole,4.0,True,4.0,,"[100, 800, 20, 100]",,,"Yeah, it's cooler in the shade, but you're also more likely to get JACKED.",3.0,,,OG_335,['DEATHRATTLE'],Shifting Shade,,,PRIEST,,RARE,OG,,,<b>Deathrattle:</b> Copy a card from your opponent's deck and add it to your hand.,MINION
Zoltan & Gabor,,True,1.0,,"[40, 400, 5, 50]",,,"We will always remember you, ""Defender!""",,,,EX1_130,['SECRET'],Noble Sacrifice,,,PALADIN,,COMMON,EXPERT1,,,"<b>Secret:</b> When an enemy attacks, summon a 2/1 Defender as the new target.",SPELL
Marcleo Vignali,4.0,True,5.0,,"[1600, 3200, 400, 1600]",,,"The ethereals have their own jousting tournament, and Saraad is the reigning champion.  Also he won the ethereal hot dog eating contest.",5.0,,,AT_127,['INSPIRE'],Nexus-Champion Saraad,,,NEUTRAL,,LEGENDARY,TGT,,,<b>Inspire:</b> Add a random spell to your hand.,MINION
Wayne Reynolds,6.0,True,6.0,,"[400, 1600, 100, 400]",,,Hey!  Let me try that...,5.0,,,AT_098,['BATTLECRY'],Sideshow Spelleater,,,NEUTRAL,,EPIC,TGT,,,<b>Battlecry:</b> Copy your opponent's Hero Power.,MINION
Daren Bader,2.0,True,2.0,,,,,"Edward ""Lefty"" Smith tried to make luggage out of a river crocolisk once.",3.0,,Unlocked at Druid Level 55.,CS2_120,,River Crocolisk,,,NEUTRAL,BEAST,FREE,CORE,,,,MINION
Tim McBurnie,3.0,True,3.0,,"[400, 1600, 100, 400]",,,Do Murlocs ever get tired of making the same old sound?  Nope!  Mrglglrglglglglglglgl!,3.0,,,EX1_507,['AURA'],Murloc Warleader,,,NEUTRAL,MURLOC,EPIC,EXPERT1,,,ALL other Murlocs have +2/+1.,MINION
Zoltan Boros,4.0,True,6.0,,"[400, 1600, 100, 400]",,,"""honey, can u run down to the store and pick up some 10 cost minions? thx""",6.0,,,OG_290,,Ancient Harbinger,,,NEUTRAL,,EPIC,OG,,,"At the start of your turn, put a 10-Cost minion from your deck into your hand.",MINION
Ralph Horsley,6.0,True,6.0,,,,,He can never take a bath. Ewww.,5.0,Unlocked at Level 10.,Unlocked at Level 49.,CS2_042,['BATTLECRY'],Fire Elemental,,{'REQ_TARGET_IF_AVAILABLE': 0},SHAMAN,,COMMON,CORE,,Deal 3 damage.,<b>Battlecry:</b> Deal 3 damage.,MINION
Seamus Gallagher,9.0,True,9.0,,"[40, 400, 5, 50]",,,You have no idea how tired this guy is of being released.,7.0,,,AT_103,['BATTLECRY'],North Sea Kraken,,{'REQ_TARGET_TO_PLAY': 0},NEUTRAL,,COMMON,TGT,,Deal 4 damage.,<b>Battlecry:</b> Deal 4 damage.,MINION
Craig Mullins,2.0,True,1.0,3.0,,,,"The Curse is that you have to listen to ""MMMBop"" on repeat.",,"Unlocked in the Hall of Explorers, in the League of Explorers adventure.","Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",LOE_118,,Cursed Blade,,,WARRIOR,,RARE,LOE,,,Double all damage dealt to your hero.,WEAPON
Slawomir Maniak,,True,0.0,,"[40, 400, 5, 50]",,,They're only smiling on the outside.,,,,EX1_607,,Inner Rage,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",WARRIOR,,COMMON,EXPERT1,,,Deal $1 damage to a minion and give it +2 Attack.,SPELL
Ian Ameling,7.0,True,7.0,,"[1600, 3200, 400, 1600]",,,"Baron Geddon was Ragnaros's foremost lieutenant, until he got FIRED.",5.0,,,EX1_249,,Baron Geddon,,,NEUTRAL,,LEGENDARY,EXPERT1,,,"At the end of your turn, deal 2 damage to ALL other characters.",MINION
Steve Prescott,3.0,True,2.0,,"[40, 400, 5, 50]",,,What happens when you glue a buncha totems together.,4.0,,,AT_052,,Totem Golem,1.0,,SHAMAN,TOTEM,COMMON,TGT,,,<b>Overload:</b> (1).,MINION
Luke Mancini,2.0,True,6.0,,"[400, 1600, 100, 400]",,,I like it because it scales.,8.0,,,OG_271,,Scaled Nightmare,,,NEUTRAL,DRAGON,EPIC,OG,,,"At the start of your turn, double this minion's Attack.",MINION
Skan Srisuwan,5.0,True,6.0,,"[100, 800, 20, 100]",,,"We like to call him ""Wesley"".",4.0,,,AT_023,['INSPIRE'],Void Crusher,,,WARLOCK,DEMON,RARE,TGT,,,<b>Inspire:</b> Destroy a random minion for each player.,MINION
John Polidora,3.0,True,3.0,,"[100, 800, 20, 100]",,,"Yes, he'll fight for you.  BUT HE'S NOT GOING TO LIKE IT.",5.0,,,EX1_301,"['BATTLECRY', 'TAUNT']",Felguard,,,WARLOCK,DEMON,RARE,EXPERT1,,,<b>Taunt</b>. <b>Battlecry:</b> Destroy one of your Mana Crystals.,MINION
Raymond Swanland,,True,5.0,,,,,MOM! DAD! DON'T TOUCH IT! IT'S EVIL!!!!!!,,"Unlocked in Uldaman, in the League of Explorers adventure.","Crafting unlocked in Uldaman, in the League of Explorers adventure.",LOE_111,,Excavated Evil,,,PRIEST,,RARE,LOE,,,"Deal $3 damage to all minions.
Shuffle this card into your opponent's deck.",SPELL
Jim Nelson,4.0,True,2.0,,"[1600, 3200, 400, 1600]",,,"""I'm gonna light you up, sweetcheeks!""",4.0,,,NEW1_029,['BATTLECRY'],Millhouse Manastorm,,,NEUTRAL,,LEGENDARY,EXPERT1,,,<b>Battlecry:</b> Enemy spells cost (0) next turn.,MINION
Matt Dixon,2.0,True,1.0,,"[40, 400, 5, 50]",,,Clockwork gnomes are always asking what time it is.,1.0,,,GVG_082,['DEATHRATTLE'],Clockwork Gnome,,,NEUTRAL,MECHANICAL,COMMON,GVG,,,<b>Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,MINION
Gabor Szikszai,,True,1.0,,"[400, 1600, 100, 400]",,,Now with 100% more blast!,,,,AT_004,,Arcane Blast,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",MAGE,,EPIC,TGT,,,Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>.,SPELL
Alex Konstad,2.0,True,5.0,2.0,"[400, 1600, 100, 400]",,,That's right. Garrosh just slapped you to death with a tentacle.,,,,OG_033,['DEATHRATTLE'],Tentacles for Arms,,,WARRIOR,,EPIC,OG,,,<b>Deathrattle:</b> Return this to your hand.,WEAPON
Jim Nelson,,True,1.0,,"[100, 800, 20, 100]",,,Competition can be an inspiration to improve oneself.  Or kill all the competitors.,,,,AT_073,['SECRET'],Competitive Spirit,,,PALADIN,,RARE,TGT,,,"<b>Secret:</b> When your turn starts, give your minions +1/+1.",SPELL
Gustav Schmidt,,True,7.0,,,,,"Come to beautiful Firelands! Where it's <i>""Way nicer than the Abyssal Maw!""</i>",,"Unlocked in the Prologue, in One Night in Karazhan.","Crafting unlocked in the Prologue, in One Night in Karazhan.",KAR_076,,Firelands Portal,,{'REQ_TARGET_TO_PLAY': 0},MAGE,,COMMON,KARA,,,"Deal $5 damage. Summon a random
5-Cost minion.",SPELL
Dave Allsop,,True,3.0,,"[40, 400, 5, 50]",,,"It's like a backstab, only from the front. And with two more stabs.",,,,OG_176,,Shadow Strike,,"{'REQ_UNDAMAGED_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",ROGUE,,COMMON,OG,,,Deal $5 damage to an undamaged character.,SPELL
Wayne Reynolds,4.0,True,6.0,,"[1600, 3200, 400, 1600]",,ALLIANCE,"Cairne was killed by Garrosh, so... don't put this guy in a Warrior deck.  It's pretty insensitive.",5.0,,,EX1_110,['DEATHRATTLE'],Cairne Bloodhoof,,,NEUTRAL,,LEGENDARY,EXPERT1,,,<b>Deathrattle:</b> Summon a 4/5 Baine Bloodhoof.,MINION
Hideaki Takamura,3.0,True,3.0,,"[40, 400, 5, 50]",,,"""Four out of three orcs struggle with math."" - Angry Zurge",3.0,,,AT_066,['INSPIRE'],Orgrimmar Aspirant,,,WARRIOR,,COMMON,TGT,,,<b>Inspire:</b> Give your weapon +1 Attack.,MINION
Dan Brereton,2.0,True,1.0,,"[40, 400, 5, 50]",,ALLIANCE,"Pirates are into this new fad called ""Planking"".",1.0,,,CS2_146,,Southsea Deckhand,,,NEUTRAL,PIRATE,COMMON,EXPERT1,,,Has <b>Charge</b> while you have a weapon equipped.,MINION
Jesper Ejsing,2.0,True,3.0,,"[100, 800, 20, 100]",,,"He’s not such a binge exploder anymore. These days, he only explodes socially.",4.0,,,GVG_095,['AURA'],Goblin Sapper,,,NEUTRAL,,RARE,GVG,,,Has +4 Attack while your opponent has 6 or more cards in hand.,MINION
Steve Prescott,,True,3.0,,"[40, 400, 5, 50]",,,"Accuracy is not a highly valued trait among the mok'nathal.  Deadliness is near the top, though.",,,,EX1_617,,Deadly Shot,,{'REQ_MINIMUM_ENEMY_MINIONS': 1},HUNTER,,COMMON,EXPERT1,,,Destroy a random enemy minion.,SPELL
Dany Orizio,3.0,True,3.0,,"[40, 400, 5, 50]",,,"""What if we put guns on it?"" -Fizzblitz, staring at the spider-transportation-machine",4.0,,,GVG_044,,Spider Tank,,,NEUTRAL,MECHANICAL,COMMON,GVG,,,,MINION
Matt Smith,1.0,True,3.0,,,,,Stoneskin Gargoyles love freeze tag.,4.0,"Unlocked in The Plague Quarter, in the Naxxramas adventure.","Crafting unlocked in The Plague Quarter, in the Naxxramas adventure.",FP1_027,,Stoneskin Gargoyle,,,NEUTRAL,,COMMON,NAXX,,,"At the start of your turn, restore this minion to full Health.",MINION
Tyler Walpole,,True,2.0,,"[100, 800, 20, 100]",,,"Not only does it reveal your enemies, but it's also great for parties!",,,,EX1_544,,Flare,,,HUNTER,,RARE,EXPERT1,,,All minions lose <b>Stealth</b>. Destroy all enemy <b>Secrets</b>. Draw a card.,SPELL
Carl Frank,,True,3.0,,"[400, 1600, 100, 400]",,,"Ice is nice, and will suffice!",,,,EX1_295,['SECRET'],Ice Block,,,MAGE,,EPIC,EXPERT1,,,"<b>Secret:</b> When your hero takes fatal damage, prevent it and become <b>Immune</b> this turn.",SPELL
Alex Horley Orlandelli,6.0,True,8.0,,"[1600, 3200, 400, 1600]",,,"Has 20 years of training in classical ballet, but ALLLLLL he ever gets asked to do is boogie.",7.0,,,OG_300,,The Boogeymonster,,,NEUTRAL,,LEGENDARY,OG,,,"Whenever this attacks and kills a minion, gain +2/+2.",MINION
Dany Orizio,3.0,True,3.0,,"[40, 400, 5, 50]",,,"But goes by ""Ravishing Ghoul"" when he hits the club.",3.0,,,OG_149,['BATTLECRY'],Ravaging Ghoul,,,WARRIOR,,COMMON,OG,,,<b>Battlecry:</b> Deal 1 damage to all other minions.,MINION
Eva Widermann,2.0,True,2.0,,"[40, 400, 5, 50]",,,It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,2.0,,,GVG_030,"['CHOOSE_ONE', 'TAUNT']",Anodized Robo Cub,,,DRUID,MECHANICAL,COMMON,GVG,,,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",MINION
Karl Richardson,1.0,True,2.0,,,,ALLIANCE,"""Half of this class will not graduate… since they'll have been turned to chickens."" - Tinkmaster Overspark, teaching Gizmos 101.",1.0,,Unlocked at Druid Level 59.,EX1_015,['BATTLECRY'],Novice Engineer,,,NEUTRAL,,FREE,CORE,,,<b>Battlecry:</b> Draw a card.,MINION
Eric Braddock,8.0,True,9.0,,"[1600, 3200, 400, 1600]",,,"Was actually a pretty nice guy before, you know, the whole Lich King thing.",4.0,,,AT_036,['DEATHRATTLE'],Anub'arak,,,ROGUE,,LEGENDARY,TGT,,,<b>Deathrattle:</b> Return this to your hand and summon a 4/4 Nerubian.,MINION
Sean O’Daniels,,True,10.0,,,,,"Nominated as ""Spell Most Likely to Make Your Opponent Punch the Wall.""",,Unlocked at Level 10.,Unlocked at Level 49.,CS1_113,,Mind Control,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0, 'REQ_NUM_MINION_SLOTS': 1, 'REQ_ENEMY_TARGET': 0}",PRIEST,,COMMON,CORE,,,Take control of an enemy minion.,SPELL
Greg Staples,8.0,True,10.0,,"[400, 1600, 100, 400]",,,Don't ask him about the beard.  JUST DON'T.,8.0,,,AT_120,,Frost Giant,,,NEUTRAL,,EPIC,TGT,,,Costs (1) less for each time you used your Hero Power this game.,MINION
Alex Pascenko,5.0,True,4.0,,"[100, 800, 20, 100]",,,Maybe if you whistle a tune it will soothe him.  Yeah...  Try that.,4.0,,,AT_039,['INSPIRE'],Savage Combatant,,,DRUID,BEAST,RARE,TGT,,,"<b>Inspire:</b> Give your hero
+2 Attack this turn.",MINION
Matt Gaser,,True,1.0,,,,,"If your spells look like horrifying skulls, let's be honest, you should get to draw some cards.",,Unlocked at Level 4.,Unlocked at Level 43.,EX1_302,,Mortal Coil,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",WARLOCK,,COMMON,CORE,,,"Deal $1 damage to a minion. If that kills it, draw a card.",SPELL
Brian Despain,2.0,True,3.0,,"[100, 800, 20, 100]",,,"Mechs like learning from him because he really speaks their language.
0110100001101001",2.0,,,GVG_027,,Iron Sensei,,,ROGUE,MECHANICAL,RARE,GVG,,,"At the end of your turn, give another friendly Mech +2/+2.",MINION
Karl Richardson,2.0,True,1.0,,,,HORDE,Voodoo is an oft-misunderstood art. But it <i>is</i> art.,1.0,,Unlocked at Rogue Level 55.,EX1_011,['BATTLECRY'],Voodoo Doctor,,{'REQ_TARGET_IF_AVAILABLE': 0},NEUTRAL,,FREE,CORE,,Restore 2 Health.,<b>Battlecry:</b> Restore 2 Health.,MINION
Jakub Kasber,3.0,True,3.0,,"[100, 800, 20, 100]",,,"If your hero doesn't attack, it's just ""Silithid Loner"".",5.0,,,OG_034,,Silithid Swarmer,,,NEUTRAL,BEAST,RARE,OG,,,Can only attack if your hero attacked this turn.,MINION
Seamus Gallagher,2.0,True,2.0,,"[40, 400, 5, 50]",,,"""Shhh, I think I hear something.""
""Ah, it's probably nothing."" - Every Henchman",3.0,,,GVG_081,['STEALTH'],Gilblin Stalker,,,NEUTRAL,,COMMON,GVG,,,<b>Stealth</b>,MINION
Jesper Ejsing,4.0,True,5.0,,,,,Healing is just something she does in her free time.  It's more of a hobby really.,5.0,,Unlocked at Priest Level 55.,DS1_055,['BATTLECRY'],Darkscale Healer,,,NEUTRAL,,COMMON,CORE,,,<b>Battlecry:</b> Restore 2 Health to all friendly characters.,MINION
John Polidora,2.0,True,5.0,8.0,"[400, 1600, 100, 400]",,,Orgrim Doomhammer gave this legendary weapon to Thrall.  His name is a total coincidence.,,,,EX1_567,['WINDFURY'],Doomhammer,2.0,,SHAMAN,,EPIC,EXPERT1,,,"<b>Windfury, Overload:</b> (2)",WEAPON
Alex Horley Orlandelli,,True,1.0,,"[40, 400, 5, 50]",,,"""I'm cold blooded, check it and see!""",,,,CS2_073,['COMBO'],Cold Blood,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",ROGUE,,COMMON,EXPERT1,,,Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.,SPELL
E.M. Gist,9.0,True,7.0,,,,,You don’t tame a Core Hound. You just train it to eat someone else before it eats you.,5.0,,Unlocked at Hunter Level 51.,CS2_201,,Core Hound,,,NEUTRAL,BEAST,COMMON,CORE,,,,MINION
Gino Whitehall,2.0,True,2.0,2.0,"[40, 400, 5, 50]",,,For the times when a regular bazooka just isn't enough.,,,,GVG_043,['BATTLECRY'],Glaivezooka,,,HUNTER,,COMMON,GVG,,,<b>Battlecry:</b> Give a random friendly minion +1 Attack.,WEAPON
Daren Bader,3.0,True,5.0,,"[100, 800, 20, 100]",,,This Kodo is so big that he can stampede by <i>himself</i>.,5.0,,,NEW1_041,['BATTLECRY'],Stampeding Kodo,,,NEUTRAL,BEAST,RARE,EXPERT1,,,<b>Battlecry:</b> Destroy a random enemy minion with 2 or less Attack.,MINION
Zoltan Boros,1.0,True,1.0,,,,,"Was almost named ""Swashb-AAAARRHHH-gler""",1.0,"Unlocked in the Opera, in One Night in Karazhan.","Crafting unlocked in the Opera, in One Night in Karazhan.",KAR_069,['BATTLECRY'],Swashburglar,,,ROGUE,PIRATE,COMMON,KARA,,,<b>Battlecry:</b> Add a random class card to your hand <i>(from your opponent's class).</i>,MINION
Dave Kendall,7.0,True,7.0,,,,,"Golems are not afraid, but for some reason they still run when you cast Fear on them.  Instinct, maybe?  A desire to blend in?",7.0,,Unlocked at Rogue Level 51.,CS2_186,,War Golem,,,NEUTRAL,,COMMON,CORE,,,,MINION
Warren Mahy,2.0,True,4.0,,,,ALLIANCE,She is still working on installing the rocket launcher add-on for Mr. Bitey.,4.0,,Unlocked at Mage Level 53.,EX1_025,['BATTLECRY'],Dragonling Mechanic,,,NEUTRAL,,COMMON,CORE,,,<b>Battlecry:</b> Summon a 2/1 Mechanical Dragonling.,MINION
Matt Dixon,,True,4.0,,"[100, 800, 20, 100]",,,* Not actually Jaraxxus' fist.,,,,AT_022,['InvisibleDeathrattle'],Fist of Jaraxxus,,,WARLOCK,,RARE,TGT,,,"When you play or discard this, deal $4 damage to a random enemy.",SPELL
Peter Stapleton,3.0,True,3.0,,,,,Fierce monkey.  That funky monkey.,4.0,"Unlocked in Uldaman, in the League of Explorers adventure.","Crafting unlocked in Uldaman, in the League of Explorers adventure.",LOE_022,['TAUNT'],Fierce Monkey,,,WARRIOR,BEAST,COMMON,LOE,,,<b>Taunt</b>,MINION
Dave Allsop,,True,3.0,,,,,It’s a Bolt.   It's made out of Shadow.   What more do you need to know!,,Unlocked at Level 1.,Unlocked at Level 47.,CS2_057,,Shadow Bolt,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",WARLOCK,,FREE,CORE,,,Deal $4 damage to a minion.,SPELL
Raymond Swanland,,True,5.0,,"[400, 1600, 100, 400]",,,"My advice to you is to avoid Doom, if possible.",,,,EX1_320,,Bane of Doom,,{'REQ_TARGET_TO_PLAY': 0},WARLOCK,,EPIC,EXPERT1,,,"Deal $2 damage to a character. If that kills it, summon a random Demon.",SPELL
E. M. Gist,2.0,True,1.0,,,,,Zombie.  It's what's for dinner.,3.0,"Unlocked in The Construct Quarter, in the Naxxramas adventure.","Crafting unlocked in The Construct Quarter, in the Naxxramas adventure.",FP1_001,['DEATHRATTLE'],Zombie Chow,,,NEUTRAL,,COMMON,NAXX,,,<b>Deathrattle:</b> Restore 5 Health to the enemy hero.,MINION
Jimmy Lo,,True,1.0,,,,,Never play 'Hide and Go Seek' with a Hunter.,,Unlocked at Level 6.,Unlocked at Level 40.,CS2_084,,Hunter's Mark,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",HUNTER,,COMMON,CORE,,,Change a minion's Health to 1.,SPELL
Richard Wright,1.0,True,3.0,3.0,"[400, 1600, 100, 400]",,,For tightening cogs and smashin' troggs!,,,,GVG_024,['AURA'],Cogmaster's Wrench,,,ROGUE,,EPIC,GVG,,,Has +2 Attack while you have a Mech.,WEAPON
Michael Komarck,4.0,True,9.0,,"[1600, 3200, 400, 1600]",,,Malygos hates it when mortals use magic.  He gets so mad!,12.0,,,EX1_563,,Malygos,,,NEUTRAL,DRAGON,LEGENDARY,EXPERT1,5.0,,<b>Spell Damage +5</b>,MINION
Trent Kaniuga,,True,6.0,,"[400, 1600, 100, 400]",,,Don't worry; we fired the person who named this card.,,,,GVG_041,['CHOOSE_ONE'],Dark Wispers,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_MINION_TARGET': 0}",DRUID,,EPIC,GVG,,,<b>Choose One -</b> Summon 5 Wisps; or Give a minion +5/+5 and <b>Taunt</b>.,SPELL
Dany Orizio,3.0,True,3.0,,"[100, 800, 20, 100]",,,The Aldor hate two things: the Scryers and smooth jazz.,3.0,,,EX1_382,['BATTLECRY'],Aldor Peacekeeper,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_MINION_TARGET': 0, 'REQ_ENEMY_TARGET': 0}",PALADIN,,RARE,EXPERT1,,Change Attack to 1.,<b>Battlecry:</b> Change an enemy minion's Attack to 1.,MINION
,,True,,,,,,,30.0,,,HERO_01a,,Magni Bronzebeard,,,WARRIOR,,EPIC,HERO_SKINS,,,,HERO
Lars Grant-West,3.0,True,3.0,,,,,"""Bear Carcass 1/10""",3.0,,Unlocked at Hunter Level 59.,CS2_125,['TAUNT'],Ironfur Grizzly,,,NEUTRAL,BEAST,COMMON,CORE,,,<b>Taunt</b>,MINION
Grace Liu,1.0,True,1.0,,"[400, 1600, 100, 400]",,,This Ancient was banned from the local tavern after tucking a 'Dr. Boom' up its sleeve.,1.0,,,OG_051,['BATTLECRY'],Forbidden Ancient,,,DRUID,,EPIC,OG,,,<b>Battlecry:</b> Spend all your Mana. Gain +1/+1 for each mana spent.,MINION
James Ryman,,True,1.0,,"[40, 400, 5, 50]",,,Justice sometimes takes the form of a closed fist into a soft cheek.,,,,EX1_132,['SECRET'],Eye for an Eye,,,PALADIN,,COMMON,EXPERT1,,,"<b>Secret:</b> When your hero takes damage, deal that much damage to the enemy hero.",SPELL
Glenn Rane,8.0,True,25.0,,"[400, 1600, 100, 400]",,,He gets terrible heartburn.  BECAUSE HE IS FULL OF LAVA.,8.0,,,EX1_620,,Molten Giant,,,NEUTRAL,,EPIC,EXPERT1,,,Costs (1) less for each damage your hero has taken.,MINION
Luke Mancini,3.0,True,4.0,,,,,A large part of her job entails not mixing up the Map to the Golden Monkey with the Map to Monkey Island.,5.0,"Unlocked in the Hall of Explorers, in the League of Explorers adventure.","Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",LOE_079,['BATTLECRY'],Elise Starseeker,,"{'REQ_FRIENDLY_TARGET': 0, 'REQ_MINION_TARGET': 0}",NEUTRAL,,LEGENDARY,LOE,,,<b>Battlecry:</b> Shuffle the 'Map to the Golden Monkey'   into your deck.,MINION
Tom Baxa,,True,4.0,,"[100, 800, 20, 100]",,,Chew your food!,,,,EX1_570,,Bite,,,DRUID,,RARE,EXPERT1,,,Give your hero +4 Attack this turn and 4 Armor.,SPELL
